2026-04-07 05:28:07 | INFO     | s_main | Starting up...
2026-04-07 05:28:11 | ERROR    | db_files.db | [db] Schema init failed: Multiple exceptions: [Errno 10061] Connect call failed ('::1', 5432, 0, 0), [Errno 10061] Connect call failed ('127.0.0.1', 5432)
2026-04-07 05:29:18 | INFO     | s_main | Starting up...
2026-04-07 05:29:22 | ERROR    | db_files.db | [db] Schema init failed: Multiple exceptions: [Errno 10061] Connect call failed ('::1', 5432, 0, 0), [Errno 10061] Connect call failed ('127.0.0.1', 5432)
2026-04-07 05:30:19 | INFO     | s_main | Starting up...
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_part_begin with no data
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_field with data[42:61]
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_value with data[63:128]
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_end with no data
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_field with data[130:142]
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_value with data[144:159]
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_header_end with no data
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_headers_finished with no data
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[163:2592]
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_part_end with no data
2026-04-07 05:30:52 | DEBUG    | python_multipart.multipart | Calling on_end with no data
2026-04-07 05:30:52 | INFO     | feature_modules.key_clause_extraction | Received file: detailed_legal_summons (1).pdf for endpoint: /detect-obligations
2026-04-07 05:30:52 | DEBUG    | utils.pdf_utils | [pdf_utils] get_page_count: 1 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] load_pdf: 'C:\Users\arshdeepsingh\pdf_ai_review\temp\ad04d11e-4508-4516-80e1-cd2e25a4edfd.pdf' max_pages=1
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] 1 total page(s), processing 1 (all)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] PDF type: sampled 1 page(s), 1 had native text -> 'native'
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Pass 1 -- parallel native extraction (4 workers)
2026-04-07 05:30:52 | DEBUG    | utils.pdf_utils | [pdf_utils] clean_text: 975 -> 975 chars
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Pass 1 done (0.00s) -- native=1, need_ocr=0
2026-04-07 05:30:52 | DEBUG    | utils.pdf_utils | [pdf_utils] Page 1: native (975 chars)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] -- EXTRACTION COMPLETE --------------------------
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] PDF type         : native
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Pages processed  : 1/1
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Native text       : 1 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] PaddleOCR-VL      : 0 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Placeholders      : 0 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Blank pages        : 0 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Total loaded      : 1 page(s)
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] Time              : 0.02s
2026-04-07 05:30:52 | INFO     | utils.pdf_utils | [pdf_utils] ------------------------------------------------------
2026-04-07 05:30:52 | INFO     | routes.route | [9d49e482] Starting Obligation Detection...
2026-04-07 05:30:52 | ERROR    | routes.route | [9d49e482] Obligation Detection failed: name 'analyze_document_obligations' is not defined
Traceback (most recent call last):
  File "C:\Users\arshdeepsingh\pdf_ai_review\routes\route.py", line 326, in detect_obligations
